tweet,created_at,username
Cuba pulls doctors out of Brazil amid row https://bbc.in/2DIWJRZ ,1542410703000,BBC
A federal judge has ruled that Florida election officials can continue to ignore vote-by-mail ballots sent within the US that arrived after 7 p.m. on Election Day https://www.buzzfeednews.com/article/dominicholden/florida-senate-recount-mail-ballots-scott-nelson?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542411490000,Buzzfeed
French fuel protests against Macron over rising prices https://bbc.in/2QOMIpk ,1542412949000,BBC
The FDA is warning parents against using pacifiers filled with or dipped in honey after four babies in Texas became seriously ill with botulism. https://www.buzzfeednews.com/article/theresatamkins/babies-botulism-honey-filled-pacifiers?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542413037000,Buzzfeed
Sabarimala: Why has a Hindu temple divided India's women? https://bbc.in/2QLX2hK ,1542413508000,BBC
Welcome sight: Why some Jamaicans want the army to stay  https://bbc.in/2DHwhIx ,1542414080000,BBC
Experts say the charges reportedly filed against WikiLeaks founder Julian Assange are more likely to revolve around hacking and conspiracy than the revelation of US secrets https://www.buzzfeednews.com/article/kevincollier/assange-indictment-computer-hacking-conspiracy?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542414610000,Buzzfeed
"Aldyr Schlee, designer of Brazil's famous yellow jersey, dies  https://bbc.in/2QOQgYG ",1542414924000,BBC
This dog keeps getting caught on camera stealing clothes from a shopping mall 🐕📹 pic.twitter.com/tEYiczIA2E,1542416280000,Buzzfeed
"Crowdsourcing respirators, donating air purifiers, and selling masks out of Ubers: this is how people are getting the supplies they need in the Northern California wildfires https://www.buzzfeednews.com/article/blakemontgomery/california-wildfires-smoke-hacks-filters?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542417722000,Buzzfeed
The CIA has reportedly determined that Saudi Crown Prince Mohammed bin Salman ordered the killing of journalist Jamal Khashoggi https://www.buzzfeednews.com/article/claudiakoerner/cia-report-saudi-arabia-crown-prince-khashoggi?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542419243000,Buzzfeed
"BREAKING: There are now 1,011 people unaccounted for in the Camp fire in Northern California, officials say.  Searchers also found 8 more people dead, bringing the death toll to 71.",1542421563000,Buzzfeed
"More than 1,000 people are missing and 74 dead in the California wildfires  https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542421776000,Buzzfeed
"The Camp fire is now 50% contained, but firefighters expect to face challenges over the weekend with a new red flag warning in effect and wind gusts of 45-50 mph expected.  https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542423466000,Buzzfeed
"Officials warn that the 1,011 names unaccounted for are compiled from frenzied 911 calls when the fire started, as well as emails and other calls to a missing persons hotline, and there may be duplicates or false alarms  https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542423715000,Buzzfeed
"After evacuating the catastrophic Camp fire in Northern California, at least 145 people in four shelters have been sickened with the norovirus, a gastrointestinal illness that causes intense diarrhea and vomiting https://www.buzzfeednews.com/article/theresatamkins/norovirus-diarrhea-vomiting-california-wildfire-shelters?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542424713000,Buzzfeed
Here's what you can do to help those in need and those responding to the devastating wildfires in California https://www.buzzfeednews.com/article/ellievhall/california-wildfires-disaster-relief-help-donate?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542424861000,Buzzfeed
"California wildfires: More than 1,000 believed missing  https://bbc.in/2QKxNws ",1542425443000,BBC
"In a last-ditch bid for survival from the California wildfires, at least a dozen people jumped into the frigid waters of a lake. https://www.buzzfeednews.com/article/salvadorhernandez/camp-fire-survivors-lake-paradise-california?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542427260000,Buzzfeed
"The California wildfires: •More than 1,000 people reported missing, at least 74 people are dead  https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires …  •Norovirus infects 145 people in 4 shelters   https://www.buzzfeednews.com/article/theresatamkins/norovirus-diarrhea-vomiting-california-wildfire-shelters …  •Millions are breathing the worst air pollution in the world  https://www.buzzfeednews.com/article/zahrahirji/california-bad-air-wildfires … pic.twitter.com/ioPoaryIu3",1542428943000,Buzzfeed
Jamal Khashoggi: CIA 'blames bin Salman for murder' https://bbc.in/2QO7YLP ,1542430336000,BBC
Xi Jinping: US-China trade war will produce no winners https://bbc.in/2DIUPRm ,1542430488000,BBC
"""The Crimes of Grindelwald tap-dances all over the Harry Potter legacy and then takes a big old dump on it."" 😬💩 https://www.buzzfeednews.com/article/alannabennett/harry-potter-crimes-of-grindelwald-johnny-depp?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542430800000,Buzzfeed
"""Your shrine honors me. My heart is filled with love and garbage."" https://www.buzzfeednews.com/article/stephaniemcneal/danny-devito-bathroom-shrine?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542432600000,Buzzfeed
Argentina submarine: ARA San Juan found https://bbc.in/2DIzx6m ,1542434164000,BBC
"The midterms may be over, but Florida's races are still alive and well. Here's what's happening: https://www.buzzfeednews.com/article/brandonfinnigan/florida-election-results-recount-senate-scott-nelson?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542434400000,Buzzfeed
"Scammers are hacking verified Twitter accounts like Target to spread their free bitcoin giveaway schemes, and it seems to be coming from Russia. https://www.buzzfeednews.com/article/janelytvynenko/twitter-cryptocurrency-scams-verified-accounts-russia-target?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542436200000,Buzzfeed
Australia 'trolley hero' faces police charges https://bbc.in/2DKADPb ,1542437926000,BBC
"It's been a harrowing, heartbreaking week https://www.buzzfeednews.com/article/gabrielsanchez/most-powerful-photos-of-this-week-nov-16?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542438000000,Buzzfeed
"Jennie-O has recalled more than 91,000 pounds of raw ground turkey possibly linked to a salmonella outbreak https://www.buzzfeednews.com/article/stephaniemlee/jennie-o-turkey-recall-salmonella-thanksgiving?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542438000000,Buzzfeed
Police say an investigation into an incident in which a student was allegedly sexually assaulted with a broomstick has uncovered a “number of occurrences ... of alleged assaultive and sexually assaultive behavior” at a Toronto school https://www.buzzfeednews.com/article/tasneemnashrulla/st-michaels-college-toronto-sexual-assault?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542439800000,Buzzfeed
"As the search for residents lengthens and intensifies beyond anything in California's history, fire officials have taken the unprecedented move of using a rapid DNA machine to help identify and connect victims with their anxious family members.  https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542441054000,Buzzfeed
"More than 1,000 people are missing and 74 dead in the California wildfires https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542441600000,Buzzfeed
Home improvement stores across California are running out of air pollution masks and air purifiers as smoke from raging wildfires is making the air hazardous to breathe https://www.buzzfeednews.com/article/leticiamiranda/california-stores-running-out-air-masks-purifiers-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542443400000,Buzzfeed
Millions of people in Northern California are suffering through some of the worst air pollution in the world due to all the smoke and ash generated by the raging wildfires https://www.buzzfeednews.com/article/zahrahirji/california-bad-air-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542445201000,Buzzfeed
"If you're a Floridian whose mail-in ballot arrived after 7 p.m. on Election Day, the state just ruled that Florida election officials can continue to ignore it https://www.buzzfeednews.com/article/dominicholden/florida-senate-recount-mail-ballots-scott-nelson?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542447000000,Buzzfeed
"Press freedom experts worry that if Julian Assange were prosecuted for publishing classified material under the Espionage Act, it could create a dangerous precedent for traditional journalists in the US who do the same https://www.buzzfeednews.com/article/kevincollier/assange-indictment-computer-hacking-conspiracy?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542448800000,Buzzfeed
"From entrepreneurial side gigs and DIY air filters, to fundraisers and donation campaigns, this is how Northern Californians are dealing with the wildfires https://www.buzzfeednews.com/article/blakemontgomery/california-wildfires-smoke-hacks-filters?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542450600000,Buzzfeed
"Fifteen years after becoming HIV-positive, Nathaniel Hall will be performing his story on stage. ""I've got to do this, to break through the shame,"" he told BuzzFeed News.  https://www.buzzfeed.com/patrickstrudwick/hiv-contracted-16-first-time-nathaniel-hall?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542451500000,Buzzfeed
The FDA is warning people not to give babies pacifiers filled with or dipped in honey https://www.buzzfeednews.com/article/theresatamkins/babies-botulism-honey-filled-pacifiers?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542452401000,Buzzfeed
The ex-boyfriend of Gypsy Rose Blanchard was found guilty of first-degree murder for killing Gypsy's mother after she’d spent years convincing the world that her daughter suffered debilitating diseases https://www.buzzfeednews.com/article/jtes/nicholas-godejohn-guilty-dee-dee-blanchard-gypsy?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542454200000,Buzzfeed
